2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CLibXLiveImpl::setExcludeFileName 	FL:LibXLiveImpl.cpp(310)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CLibXLiveImpl::setExcludeFilePrefix 	FL:LibXLiveImpl.cpp(286)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CLibXLiveImpl::setExcludeFilePrefix 	FL:LibXLiveImpl.cpp(286)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CLibXLiveImpl::setExcludeFolderPrefix 	FL:LibXLiveImpl.cpp(298)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CLibXLiveImpl::setExcludeFolderPrefix 	FL:LibXLiveImpl.cpp(298)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CLibXLiveImpl::setExcludeFolderPostfix 	FL:LibXLiveImpl.cpp(304)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"1]       CLibXLiveImpl::setExcludeFolderPostfix 	FL:LibXLiveImpl.cpp(304)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CLibXLiveImpl::startSync 	FL:LibXLiveImpl.cpp(378)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CSyncManager::startSync 	FL:SyncManager.cpp(417)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CSyncManager::_init 	FL:SyncManager.cpp(814)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CLocalFS::init 	FL:LocalFS.cpp(27)
2016/04/23 08:38:07	I	xlive 	4028:4376 	syncroot = D:/jszhou 	FL:LocalFS.cpp(31)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[OUT 0'0"0]       CLocalFS::init 	FL:LocalFS.cpp(27)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/04/23 08:38:07	T	xlive 	4028:4376 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
